WORK_RECOMMENDATION_DTL_ID,MP_NAME,IDA_NAME,WORK_CATEGORY,WORK_DESCRIPTION,VENDOR_NAME,RECIPIENT_TYPE,RECOMMENDATION_DATE,SANCTION_DATE,ACTUAL_END_DATE,SANCTION_AMOUNT,FUND_DISBURSED_AMT,IS_SC_AREA,IS_ST_AREA,IS_TRIBAL_TRUST,FY,days_to_sanction,days_to_complete,days_since_recommendation,is_completed_flag
100028,MP_4,District_3,Drinking Water,Standard public infrastructure work,Vendor_17,Government Agency,2024-05-07,2024-07-01,2024-12-24,299478.75,299478.75,False,False,False,2024-25,55,176,390,True
100029,MP_8,District_5,Drinking Water,Standard public infrastructure work,Vendor_14,Government Agency,2024-12-09,2025-01-18,2025-06-25,308576.94,308576.94,False,True,False,2024-25,40,158,174,True
100030,MP_5,District_1,Community Hall,Standard public infrastructure work,Vendor_18,Government Agency,2024-08-29,2024-09-10,2025-02-20,885213.11,885213.11,True,False,False,2024-25,12,163,276,True
100031,MP_2,District_3,Road Construction,Standard public infrastructure work,Vendor_2,Government Agency,2024-12-02,2025-01-06,2025-03-23,1216646.2,1216646.2,False,False,False,2024-25,35,76,181,True
100032,MP_7,District_5,Road Construction,Standard public infrastructure work,Vendor_3,Government Agency,2024-12-20,2025-01-05,2025-05-01,1318223.52,1318223.52,False,False,False,2024-25,16,116,163,True
100033,MP_3,District_4,Road Construction,Standard public infrastructure work,Vendor_2,Government Agency,2024-10-03,2024-11-13,2025-08-14,941537.85,941537.85,False,False,False,2024-25,41,274,241,True
100034,MP_6,District_2,Road Construction,Standard public infrastructure work,Vendor_17,Government Agency,2024-04-05,2024-05-17,2024-07-23,1039238.35,1039238.35,False,False,False,2024-25,42,67,422,True
100035,MP_7,District_4,School Infrastructure,Standard public infrastructure work,Vendor_20,Government Agency,2024-08-22,2024-09-30,2025-01-14,854799.67,854799.67,False,False,False,2024-25,39,106,283,True
100036,MP_2,District_4,Road Construction,Standard public infrastructure work,Vendor_19,Government Agency,2024-07-26,2024-09-01,2024-12-27,1080878.44,1080878.44,True,True,False,2024-25,37,117,310,True
100037,MP_7,District_1,Street Lighting,Standard public infrastructure work,Vendor_1,Government Agency,2024-05-18,2024-05-28,2025-03-22,281966.25,281966.25,False,False,False,2024-25,10,298,379,True
100038,MP_9,District_5,School Infrastructure,Standard public infrastructure work,Vendor_1,Government Agency,2024-06-25,2024-07-07,2024-11-19,1186491.09,1186491.09,False,False,False,2024-25,12,135,341,True
100039,MP_9,District_5,Street Lighting,Standard public infrastructure work,Vendor_5,Government Agency,2024-10-21,2024-12-16,2025-05-18,288717.45,288717.45,False,False,False,2024-25,56,153,223,True
100040,MP_10,District_2,School Infrastructure,Standard public infrastructure work,Vendor_7,Government Agency,2024-07-09,2024-08-24,2024-11-14,835031.5,835031.5,True,False,False,2024-25,46,82,327,True
100041,MP_2,District_4,Road Construction,Standard public infrastructure work,Vendor_19,Government Agency,2024-04-16,2024-05-27,2024-07-26,823117.08,823117.08,False,False,False,2024-25,41,60,411,True
100042,MP_8,District_2,Drinking Water,Standard public infrastructure work,Vendor_20,Government Agency,2024-12-24,2025-02-04,2025-09-12,214618.04,214618.04,False,False,False,2024-25,42,220,159,True
100043,MP_3,District_1,Drinking Water,Standard public infrastructure work,Vendor_8,Government Agency,2024-07-04,2024-07-23,2024-11-02,357624.33,357624.33,True,True,False,2024-25,19,102,332,True
100044,MP_2,District_5,Community Hall,Standard public infrastructure work,Vendor_18,Government Agency,2024-07-24,2024-08-10,2025-01-09,741628.07,741628.07,False,True,False,2024-25,17,152,312,True
100045,MP_9,District_4,Road Construction,Standard public infrastructure work,Vendor_18,Government Agency,2025-01-02,2025-02-25,2025-07-09,1237367.69,1237367.69,False,False,False,2024-25,54,134,150,True
100046,MP_9,District_4,Road Construction,Standard public infrastructure work,Vendor_5,Government Agency,2024-07-05,2024-09-01,2025-02-06,1334512.85,1334512.85,False,False,False,2024-25,58,158,331,True
100047,MP_8,District_5,Street Lighting,Standard public infrastructure work,Vendor_17,Government Agency,2024-12-29,2025-01-20,2025-04-12,272888.88,272888.88,False,False,False,2024-25,22,82,154,True
100048,MP_1,District_4,Drinking Water,Standard public infrastructure work,Vendor_13,Government Agency,2025-01-09,2025-01-30,2025-10-05,289234.88,289234.88,False,True,False,2024-25,21,248,143,True
100049,MP_4,District_3,Road Construction,Standard public infrastructure work,Vendor_15,Government Agency,2024-05-23,2024-06-17,2024-12-10,1353715.45,1353715.45,True,False,False,2024-25,25,176,374,True
100050,MP_7,District_1,School Infrastructure,Standard public infrastructure work,Vendor_10,Government Agency,2024-12-09,2025-02-03,2025-06-18,1144844.99,1144844.99,False,False,False,2024-25,56,135,174,True
100051,MP_6,District_5,Road Construction,Standard public infrastructure work,Vendor_9,Government Agency,2024-09-12,2024-11-10,2025-02-04,1272824.92,1272824.92,False,True,False,2024-25,59,86,262,True
100052,MP_6,District_3,School Infrastructure,Standard public infrastructure work,Vendor_1,Government Agency,2024-12-08,2024-12-24,2025-09-26,857155.21,857155.21,False,False,False,2024-25,16,276,175,True
100053,MP_3,District_5,Street Lighting,Standard public infrastructure work,Vendor_7,Government Agency,2024-09-20,2024-10-26,2025-07-14,267191.55,267191.55,False,False,False,2024-25,36,261,254,True
100054,MP_2,District_4,Road Construction,Standard public infrastructure work,Vendor_20,Government Agency,2024-07-26,2024-08-17,2025-01-15,1428804.88,1428804.88,False,False,False,2024-25,22,151,310,True
100055,MP_6,District_2,Street Lighting,Standard public infrastructure work,Vendor_13,Government Agency,2024-10-30,2024-12-10,2025-07-30,278907.37,278907.37,True,False,False,2024-25,41,232,214,True
100056,MP_5,District_4,Community Hall,Standard public infrastructure work,Vendor_19,Government Agency,2024-05-24,2024-07-13,2024-10-29,802941.22,802941.22,False,False,False,2024-25,50,108,373,True
100057,MP_6,District_3,Drinking Water,Standard public infrastructure work,Vendor_11,Government Agency,2024-09-03,2024-09-24,2025-02-04,322409.92,322409.92,False,False,False,2024-25,21,133,271,True
100058,MP_5,District_2,Street Lighting,Standard public infrastructure work,Vendor_4,Government Agency,2024-10-09,2024-12-07,2025-03-04,170353.91,170353.91,True,False,False,2024-25,59,87,235,True
100059,MP_6,District_1,Drinking Water,Standard public infrastructure work,Vendor_1,Government Agency,2024-05-16,2024-06-14,2025-03-05,276341.02,276341.02,False,False,False,2024-25,29,264,381,True
100060,MP_3,District_5,Road Construction,Standard public infrastructure work,Vendor_19,Government Agency,2024-04-05,2024-04-16,2024-06-24,1333553.34,1333553.34,False,False,False,2024-25,11,69,422,True
100061,MP_7,District_1,Drinking Water,Standard public infrastructure work,Vendor_18,Government Agency,2024-06-02,2024-07-13,2025-05-07,366449.64,366449.64,True,False,False,2024-25,41,298,364,True
100062,MP_9,District_3,Community Hall,Standard public infrastructure work,Vendor_17,Government Agency,2024-10-14,2024-11-27,2025-06-03,786255.22,786255.22,True,True,False,2024-25,44,188,230,True
100063,MP_5,District_3,School Infrastructure,Standard public infrastructure work,Vendor_5,Government Agency,2024-06-17,2024-08-02,2025-04-20,1067105.2,1067105.2,False,False,False,2024-25,46,261,349,True
100064,MP_9,District_1,Community Hall,Standard public infrastructure work,Vendor_13,Government Agency,2024-06-11,2024-08-08,2025-05-26,635769.19,635769.19,False,False,False,2024-25,58,291,355,True
100065,MP_7,District_2,Road Construction,Standard public infrastructure work,Vendor_2,Government Agency,2024-11-22,2024-12-04,2025-06-04,1296388.53,1296388.53,False,False,False,2024-25,12,182,191,True
100066,MP_5,District_3,Drinking Water,Standard public infrastructure work,Vendor_17,Government Agency,2024-12-08,2024-12-19,2025-05-02,329041.92,329041.92,False,False,False,2024-25,11,134,175,True
100067,MP_2,District_2,Road Construction,Standard public infrastructure work,Vendor_18,Government Agency,2024-12-05,2025-01-13,2025-05-31,1446353.68,1446353.68,False,False,False,2024-25,39,138,178,True
100068,MP_6,District_1,Street Lighting,Standard public infrastructure work,Vendor_10,Government Agency,2024-10-22,2024-11-24,2025-04-01,186123.16,186123.16,False,False,False,2024-25,33,128,222,True
100069,MP_3,District_1,Community Hall,Standard public infrastructure work,Vendor_16,Government Agency,2024-10-12,2024-10-29,2025-05-08,793334.28,793334.28,True,False,False,2024-25,17,191,232,True
100070,MP_3,District_3,School Infrastructure,Standard public infrastructure work,Vendor_18,Government Agency,2024-04-22,2024-05-22,2024-07-25,715635.25,715635.25,False,False,False,2024-25,30,64,405,True
100071,MP_5,District_1,School Infrastructure,Standard public infrastructure work,Vendor_9,Government Agency,2024-11-04,2024-11-25,2025-04-23,968054.43,968054.43,False,False,False,2024-25,21,149,209,True
100072,MP_9,District_2,Drinking Water,Standard public infrastructure work,Vendor_15,Government Agency,2024-04-26,2024-06-04,2024-11-17,268512.35,268512.35,False,True,False,2024-25,39,166,401,True
100073,MP_4,District_1,Drinking Water,Standard public infrastructure work,Vendor_3,Government Agency,2024-04-28,2024-05-22,2024-09-05,309629.1,309629.1,False,False,False,2024-25,24,106,399,True
100074,MP_7,District_2,School Infrastructure,Standard public infrastructure work,Vendor_14,Government Agency,2025-01-19,2025-03-12,2026-01-04,1017024.62,1017024.62,True,False,False,2024-25,52,298,133,True
100075,MP_3,District_3,Drinking Water,Standard public infrastructure work,Vendor_5,Government Agency,2024-06-25,2024-08-01,2025-04-19,321196.66,321196.66,False,False,False,2024-25,37,261,341,True
100076,MP_10,District_4,Drinking Water,Standard public infrastructure work,Vendor_17,Government Agency,2024-11-14,2024-12-03,2025-04-08,284259.73,284259.73,False,False,False,2024-25,19,126,199,True
100077,MP_6,District_2,Drinking Water,Standard public infrastructure work,Vendor_12,Government Agency,2025-01-07,2025-02-04,2025-05-16,205018.52,205018.52,False,False,False,2024-25,28,101,145,True
100078,MP_2,District_3,Community Hall,Standard public infrastructure work,Vendor_13,Government Agency,2024-04-04,2024-05-05,2024-07-24,859589.38,859589.38,True,False,False,2024-25,31,80,423,True
100079,MP_8,District_1,Community Hall,Standard public infrastructure work,Vendor_19,Government Agency,2024-04-06,2024-05-16,2024-08-23,776689.83,776689.83,False,False,False,2024-25,40,99,421,True
100080,MP_2,District_4,Street Lighting,Standard public infrastructure work,Vendor_11,Government Agency,2024-10-11,2024-12-08,2025-05-10,258899.66,258899.66,True,False,False,2024-25,58,153,233,True
100081,MP_8,District_2,Community Hall,Standard public infrastructure work,Vendor_13,Government Agency,2024-12-31,2025-02-22,2025-09-02,832829.29,832829.29,True,False,False,2024-25,53,192,152,True
100082,MP_4,District_1,Street Lighting,Standard public infrastructure work,Vendor_17,Government Agency,2024-12-15,2025-01-07,2025-05-10,319261.76,319261.76,True,False,False,2024-25,23,123,168,True
100083,MP_1,District_2,Road Construction,Standard public infrastructure work,Vendor_5,Government Agency,2024-08-08,2024-09-09,2025-03-25,1247871.95,1247871.95,False,False,False,2024-25,32,197,297,True
100084,MP_4,District_1,School Infrastructure,Standard public infrastructure work,Vendor_9,Government Agency,2024-06-08,2024-07-11,2024-10-16,971523.56,971523.56,False,False,False,2024-25,33,97,358,True
100085,MP_2,District_5,Community Hall,Standard public infrastructure work,Vendor_9,Government Agency,2024-05-30,2024-07-12,2024-11-24,972988.23,972988.23,False,False,False,2024-25,43,135,367,True
100086,MP_8,District_3,Drinking Water,Standard public infrastructure work,Vendor_5,Government Agency,2024-06-01,2024-07-01,2025-02-10,278057.72,278057.72,False,False,False,2024-25,30,224,365,True
100087,MP_4,District_1,School Infrastructure,Standard public infrastructure work,Vendor_10,Government Agency,2024-04-14,2024-05-18,2024-12-09,841604.64,841604.64,False,False,False,2024-25,34,205,413,True
100088,MP_3,District_5,Drinking Water,Standard public infrastructure work,Vendor_15,Government Agency,2024-05-09,2024-07-04,2025-03-14,216259.06,216259.06,False,False,False,2024-25,56,253,388,True
100089,MP_3,District_3,Community Hall,Standard public infrastructure work,Vendor_8,Government Agency,2025-01-14,2025-03-06,2025-11-12,919632.81,919632.81,True,False,False,2024-25,51,251,138,True
100090,MP_4,District_3,Street Lighting,Standard public infrastructure work,Vendor_6,Government Agency,2024-04-10,2024-05-16,2025-01-13,281055.76,281055.76,True,False,False,2024-25,36,242,417,True
100091,MP_5,District_3,Road Construction,Standard public infrastructure work,Vendor_1,Government Agency,2024-11-02,2024-12-19,2025-07-07,1381781.09,1381781.09,True,False,False,2024-25,47,200,211,True
100092,MP_4,District_5,School Infrastructure,Standard public infrastructure work,Vendor_15,Government Agency,2025-01-07,2025-02-12,2025-07-16,1090923.92,1090923.92,False,False,False,2024-25,36,154,145,True
100093,MP_5,District_4,Community Hall,Standard public infrastructure work,Vendor_10,Government Agency,2024-11-04,2024-12-23,2025-03-30,743169.35,743169.35,False,False,False,2024-25,49,97,209,True
100094,MP_8,District_2,Drinking Water,Standard public infrastructure work,Vendor_1,Government Agency,2024-07-15,2024-07-28,2025-02-05,304922.77,304922.77,False,False,False,2024-25,13,192,321,True
100095,MP_1,District_4,Road Construction,Standard public infrastructure work,Vendor_9,Government Agency,2024-12-13,2025-01-20,2025-10-12,1330637.99,1330637.99,False,False,False,2024-25,38,265,170,True
100096,MP_5,District_5,Road Construction,Standard public infrastructure work,Vendor_14,Government Agency,2024-08-27,2024-09-06,2025-01-06,1275391.09,1275391.09,False,False,False,2024-25,10,122,278,True
100097,MP_9,District_5,Drinking Water,Standard public infrastructure work,Vendor_10,Government Agency,2024-06-29,2024-08-03,2025-03-19,282482.03,282482.03,True,False,False,2024-25,35,228,337,True
100098,MP_6,District_2,Road Construction,Standard public infrastructure work,Vendor_2,Government Agency,2024-09-27,2024-11-19,2025-07-15,1229043.58,1229043.58,False,False,False,2024-25,53,238,247,True
100099,MP_6,District_5,Drinking Water,Standard public infrastructure work,Vendor_17,Government Agency,2024-05-19,2024-06-26,2024-10-26,334896.27,334896.27,False,False,False,2024-25,38,122,378,True
100100,MP_7,District_1,Street Lighting,Standard public infrastructure work,Vendor_9,Government Agency,2024-12-13,2025-01-19,2025-05-21,239916.67,239916.67,False,False,False,2024-25,37,122,170,True
100101,MP_7,District_3,Community Hall,Standard public infrastructure work,Vendor_19,Government Agency,2025-01-11,2025-02-21,2025-09-26,667216.89,667216.89,True,True,False,2024-25,41,217,141,True
100102,MP_8,District_3,Road Construction,Standard public infrastructure work,Vendor_1,Government Agency,2024-08-10,2024-08-21,2025-05-27,1154104.1,1154104.1,False,False,False,2024-25,11,279,295,True
100103,MP_1,District_5,Community Hall,Standard public infrastructure work,Vendor_10,Government Agency,2024-06-26,2024-07-15,2025-04-11,980479.16,980479.16,False,False,False,2024-25,19,270,340,True
100104,MP_7,District_4,Road Construction,Standard public infrastructure work,Vendor_7,Government Agency,2024-05-24,2024-06-05,2025-03-07,1183940.19,1183940.19,True,False,False,2024-25,12,275,373,True
100105,MP_9,District_5,Community Hall,Standard public infrastructure work,Vendor_19,Government Agency,2024-07-05,2024-08-16,2025-01-14,803598.04,803598.04,False,True,False,2024-25,42,151,331,True
100106,MP_8,District_3,Street Lighting,Standard public infrastructure work,Vendor_20,Government Agency,2024-12-19,2025-01-28,2025-05-22,209460.13,209460.13,False,True,False,2024-25,40,114,164,True
100107,MP_1,District_5,Community Hall,Standard public infrastructure work,Vendor_16,Government Agency,2024-10-14,2024-11-11,2025-02-14,873912.27,873912.27,False,False,False,2024-25,28,95,230,True
100108,MP_4,District_3,Road Construction,Standard public infrastructure work,Vendor_2,Government Agency,2024-11-12,2024-12-11,2025-02-13,1140720.42,1140720.42,False,False,False,2024-25,29,64,201,True
100109,MP_5,District_4,Community Hall,Standard public infrastructure work,Vendor_20,Government Agency,2024-07-29,2024-08-29,2025-02-12,788380.88,788380.88,True,False,False,2024-25,31,167,307,True
100110,MP_7,District_1,Road Construction,Standard public infrastructure work,Vendor_19,Government Agency,2025-01-03,2025-01-14,2025-11-06,1506257.26,1506257.26,False,False,False,2024-25,11,296,149,True
100111,MP_4,District_2,Road Construction,Standard public infrastructure work,Vendor_13,Government Agency,2024-08-06,2024-09-18,2025-06-19,1215785.91,1215785.91,False,False,False,2024-25,43,274,299,True
100112,MP_5,District_2,Street Lighting,Standard public infrastructure work,Vendor_9,Government Agency,2024-04-27,2024-05-31,2025-03-16,265309.48,265309.48,False,False,False,2024-25,34,289,400,True
100113,MP_9,District_3,Road Construction,Standard public infrastructure work,Vendor_12,Government Agency,2024-10-07,2024-11-30,2025-03-22,893534.95,893534.95,True,False,False,2024-25,54,112,237,True
100114,MP_10,District_2,Street Lighting,Standard public infrastructure work,Vendor_11,Government Agency,2024-07-07,2024-08-21,2025-02-09,241562.28,241562.28,False,False,False,2024-25,45,172,329,True
100115,MP_7,District_5,Drinking Water,Standard public infrastructure work,Vendor_4,Government Agency,2024-10-18,2024-12-13,2025-07-08,354341.65,354341.65,True,False,False,2024-25,56,207,226,True
100116,MP_10,District_2,School Infrastructure,Standard public infrastructure work,Vendor_9,Government Agency,2024-05-09,2024-06-12,2024-10-10,924279.13,924279.13,False,False,False,2024-25,34,120,388,True
100117,MP_3,District_3,Road Construction,Standard public infrastructure work,Vendor_5,Government Agency,2024-04-12,2024-06-04,2025-01-21,1139726.59,1139726.59,False,True,False,2024-25,53,231,415,True
100118,MP_3,District_5,Street Lighting,Standard public infrastructure work,Vendor_17,Government Agency,2024-06-20,2024-07-15,2025-04-16,200524.45,200524.45,False,False,False,2024-25,25,275,346,True
100119,MP_7,District_5,Drinking Water,Standard public infrastructure work,Vendor_18,Government Agency,2024-04-26,2024-05-30,2024-08-09,289818.97,289818.97,False,False,False,2024-25,34,71,401,True
100120,MP_10,District_1,Road Construction,Standard public infrastructure work,Vendor_7,Government Agency,2024-07-12,2024-09-09,2025-01-05,1280395.15,1280395.15,False,False,False,2024-25,59,118,324,True
100121,MP_1,District_3,Street Lighting,Standard public infrastructure work,Vendor_13,Government Agency,2024-09-30,2024-11-12,2025-05-21,242002.29,242002.29,False,False,False,2024-25,43,190,244,True
100122,MP_7,District_4,Drinking Water,Standard public infrastructure work,Vendor_4,Government Agency,2024-11-13,2024-12-10,2025-07-18,270723.68,270723.68,False,False,False,2024-25,27,220,200,True
100123,MP_10,District_2,Community Hall,Standard public infrastructure work,Vendor_13,Government Agency,2024-05-09,2024-05-31,2024-08-16,925225.51,925225.51,False,False,False,2024-25,22,77,388,True
100124,MP_4,District_5,Drinking Water,Standard public infrastructure work,Vendor_12,Government Agency,2024-06-04,2024-07-30,2025-01-26,341392.24,341392.24,False,False,False,2024-25,56,180,362,True
100125,MP_1,District_3,School Infrastructure,Standard public infrastructure work,Vendor_14,Government Agency,2024-10-10,2024-11-18,2025-03-25,942371.37,942371.37,False,False,False,2024-25,39,127,234,True
100126,MP_5,District_1,Drinking Water,Standard public infrastructure work,Vendor_4,Government Agency,2024-08-31,2024-10-25,2025-03-21,344294.51,344294.51,False,False,False,2024-25,55,147,274,True
100127,MP_7,District_4,Street Lighting,Standard public infrastructure work,Vendor_8,Government Agency,2024-07-16,2024-08-14,2025-01-13,241975.42,241975.42,False,False,False,2024-25,29,152,320,True
100128,MP_2,District_1,Road Construction,Standard public infrastructure work,Vendor_9,Government Agency,2024-09-24,2024-10-09,2024-12-12,1299967.83,1299967.83,True,False,False,2024-25,15,64,250,True
100129,MP_9,District_3,Street Lighting,Standard public infrastructure work,Vendor_17,Government Agency,2024-11-02,2024-12-23,2025-08-02,226642.36,226642.36,False,False,False,2024-25,51,222,211,True
100130,MP_3,District_3,School Infrastructure,Standard public infrastructure work,Vendor_15,Government Agency,2024-11-12,2024-11-24,2025-05-25,882037.16,882037.16,True,False,False,2024-25,12,182,201,True
100131,MP_10,District_1,Drinking Water,Standard public infrastructure work,Vendor_5,Government Agency,2024-05-08,2024-05-28,2025-01-29,350655.55,350655.55,False,False,False,2024-25,20,246,389,True
100132,MP_8,District_3,School Infrastructure,Standard public infrastructure work,Vendor_16,Government Agency,2024-07-23,2024-09-18,2025-06-09,786477.31,786477.31,False,False,False,2024-25,57,264,313,True
100133,MP_8,District_5,School Infrastructure,Standard public infrastructure work,Vendor_19,Government Agency,2024-11-23,2024-12-05,2025-03-30,898882.46,898882.46,False,False,False,2024-25,12,115,190,True
100134,MP_1,District_3,Street Lighting,Standard public infrastructure work,Vendor_1,Government Agency,2024-10-08,2024-10-30,2025-04-14,240016.09,240016.09,False,False,False,2024-25,22,166,236,True
100135,MP_6,District_4,School Infrastructure,Standard public infrastructure work,Vendor_11,Government Agency,2024-09-07,2024-10-31,2025-02-25,863734.13,863734.13,False,False,False,2024-25,54,117,267,True
100136,MP_5,District_2,Street Lighting,Standard public infrastructure work,Vendor_2,Government Agency,2024-07-22,2024-09-08,2025-05-19,251077.93,251077.93,False,False,False,2024-25,48,253,314,True
100137,MP_9,District_1,Road Construction,Standard public infrastructure work,Vendor_13,Government Agency,2024-06-13,2024-07-27,2025-05-22,1430121.34,1430121.34,True,False,False,2024-25,44,299,353,True
100138,MP_9,District_2,Street Lighting,Standard public infrastructure work,Vendor_15,Government Agency,2024-10-10,2024-12-08,2025-04-14,256582.97,256582.97,False,False,False,2024-25,59,127,234,True
100139,MP_6,District_2,Community Hall,Standard public infrastructure work,Vendor_18,Government Agency,2024-09-11,2024-11-09,2025-01-21,849021.48,849021.48,False,False,False,2024-25,59,73,263,True
100140,MP_3,District_4,School Infrastructure,Standard public infrastructure work,Vendor_12,Government Agency,2024-11-12,2024-12-02,2025-03-29,882309.82,882309.82,True,False,False,2024-25,20,117,201,True
100141,MP_4,District_1,Community Hall,Standard public infrastructure work,Vendor_13,Government Agency,2024-06-14,2024-08-03,2024-11-09,555771.17,555771.17,False,False,False,2024-25,50,98,352,True
100142,MP_4,District_2,Street Lighting,Standard public infrastructure work,Vendor_11,Government Agency,2024-12-18,2025-01-17,2025-05-03,241659.52,241659.52,False,False,False,2024-25,30,106,165,True
100143,MP_3,District_1,School Infrastructure,Standard public infrastructure work,Vendor_3,Government Agency,2024-09-10,2024-09-20,2025-01-15,745160.59,745160.59,False,False,False,2024-25,10,117,264,True
100144,MP_1,District_1,Street Lighting,Standard public infrastructure work,Vendor_18,Government Agency,2024-04-08,2024-04-25,2024-08-22,246919.33,246919.33,True,False,False,2024-25,17,119,419,True
